2014-02-14 15:30:33,482 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6833f0de: startup date [Fri Feb 14 15:30:33 PST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-02-14 16:17:51,793 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-02-14 16:17:51,812 | INFO  | Recovery replayed 517 operations from the journal in 0.029 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-02-14 16:17:51,957 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57057-1392423471831-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:17:51,974 | INFO  | Listening for connections at: tcp://Davids-MacBook-Pro-3.local:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 16:17:51,976 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:17:51,981 | INFO  | Listening for connections at: amqp://Davids-MacBook-Pro-3.local:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 16:17:51,984 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:17:51,989 | INFO  | Listening for connections at: stomp://Davids-MacBook-Pro-3.local:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 16:17:51,991 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:17:51,995 | INFO  | Listening for connections at: mqtt://Davids-MacBook-Pro-3.local:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 16:17:51,996 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:17:52,131 | INFO  | Listening for connections at ws://Davids-MacBook-Pro-3.local:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-02-14 16:17:52,132 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:17:52,134 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57057-1392423471831-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:17:52,135 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:17:52,136 | WARN  | Store limit is 102400 mb, whilst the data directory: /Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/kahadb only has 10077 mb of usable space - resetting to maximum available disk space: 10077 mb | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:17:52,138 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/localhost/tmp_storage only has 10077 mb of usable space - resetting to maximum available 10077 mb. | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:17:52,423 | INFO  | Welcome to hawtio 1.2-M23 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-) | io.hawt.jmx.JmxTreeWatcher | main
2014-02-14 16:17:52,428 | INFO  | Starting hawtio authentication filter, JAAS realm: "activemq" authorized role: "admins" role principal classes: "org.apache.activemq.jaas.GroupPrincipal" | io.hawt.web.AuthenticationFilter | main
2014-02-14 16:17:52,467 | INFO  | Using file upload directory: /Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/tmp/uploads | io.hawt.web.UploadServlet | main
2014-02-14 16:17:52,479 | INFO  | jolokia-agent: Using access restrictor classpath:/jolokia-access.xml | /hawtio | main
2014-02-14 16:17:52,629 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-02-14 16:17:52,656 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-02-14 16:24:23,079 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57057-1392423471831-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-26
2014-02-14 16:24:24,154 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:24:26,155 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:24:28,155 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:24:28,167 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:24:28,245 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:24:28,249 | INFO  | PListStore:[/Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-26
2014-02-14 16:24:28,250 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-26
2014-02-14 16:24:28,251 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-26
2014-02-14 16:24:28,252 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-26
2014-02-14 16:24:28,751 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57057-1392423471831-0:1) uptime 6 minutes | org.apache.activemq.broker.BrokerService | Thread-26
2014-02-14 16:24:28,752 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57057-1392423471831-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-26
2014-02-14 16:24:28,753 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@6833f0de: startup date [Fri Feb 14 16:17:50 PST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-26
2014-02-14 16:24:28,780 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-26
2014-02-14 16:24:28,783 | INFO  | Destroying hawtio authentication filter | io.hawt.web.AuthenticationFilter | Thread-26
2014-02-14 16:24:35,855 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6833f0de: startup date [Fri Feb 14 16:24:35 PST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-02-14 16:24:36,733 | INFO  | PListStore:[/Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-02-14 16:24:36,764 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:24:37,102 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-02-14 16:24:37,117 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-02-14 16:24:37,140 | INFO  | Recovery replayed 598 operations from the journal in 0.033 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-02-14 16:24:37,283 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57112-1392423877158-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:24:37,299 | INFO  | Listening for connections at: tcp://Davids-MacBook-Pro-3.local:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 16:24:37,302 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:24:37,306 | INFO  | Listening for connections at: amqp://Davids-MacBook-Pro-3.local:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 16:24:37,309 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:24:37,314 | INFO  | Listening for connections at: stomp://Davids-MacBook-Pro-3.local:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 16:24:37,316 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:24:37,320 | INFO  | Listening for connections at: mqtt://Davids-MacBook-Pro-3.local:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 16:24:37,321 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:24:37,440 | INFO  | Listening for connections at ws://Davids-MacBook-Pro-3.local:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-02-14 16:24:37,441 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:24:37,444 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57112-1392423877158-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:24:37,445 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:24:37,446 | WARN  | Store limit is 102400 mb, whilst the data directory: /Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/kahadb only has 10193 mb of usable space - resetting to maximum available disk space: 10193 mb | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:24:37,447 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/localhost/tmp_storage only has 10193 mb of usable space - resetting to maximum available 10193 mb. | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:24:37,732 | INFO  | Welcome to hawtio 1.2-M23 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-) | io.hawt.jmx.JmxTreeWatcher | main
2014-02-14 16:24:37,736 | INFO  | Starting hawtio authentication filter, JAAS realm: "activemq" authorized role: "admins" role principal classes: "org.apache.activemq.jaas.GroupPrincipal" | io.hawt.web.AuthenticationFilter | main
2014-02-14 16:24:37,772 | INFO  | Using file upload directory: /Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/tmp/uploads | io.hawt.web.UploadServlet | main
2014-02-14 16:24:37,783 | INFO  | jolokia-agent: Using access restrictor classpath:/jolokia-access.xml | /hawtio | main
2014-02-14 16:24:37,929 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-02-14 16:24:37,955 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-02-14 16:29:41,758 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57112-1392423877158-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-26
2014-02-14 16:29:43,438 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:29:43,447 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:29:43,449 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:29:43,455 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:29:43,535 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:29:43,539 | INFO  | PListStore:[/Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-26
2014-02-14 16:29:43,540 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-26
2014-02-14 16:29:43,540 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-26
2014-02-14 16:29:43,542 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-26
2014-02-14 16:29:43,846 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57112-1392423877158-0:1) uptime 5 minutes | org.apache.activemq.broker.BrokerService | Thread-26
2014-02-14 16:29:43,847 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57112-1392423877158-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-26
2014-02-14 16:29:43,848 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@6833f0de: startup date [Fri Feb 14 16:24:35 PST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-26
2014-02-14 16:29:43,878 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-26
2014-02-14 16:29:43,882 | INFO  | Destroying hawtio authentication filter | io.hawt.web.AuthenticationFilter | Thread-26
2014-02-14 16:29:58,098 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6833f0de: startup date [Fri Feb 14 16:29:58 PST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-02-14 16:29:58,984 | INFO  | PListStore:[/Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-02-14 16:29:59,015 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:29:59,348 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-02-14 16:29:59,361 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-02-14 16:29:59,387 | INFO  | Recovery replayed 661 operations from the journal in 0.035 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-02-14 16:29:59,531 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57173-1392424199405-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:29:59,547 | INFO  | Listening for connections at: tcp://Davids-MacBook-Pro-3.local:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 16:29:59,549 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:29:59,554 | INFO  | Listening for connections at: amqp://Davids-MacBook-Pro-3.local:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 16:29:59,557 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:29:59,562 | INFO  | Listening for connections at: stomp://Davids-MacBook-Pro-3.local:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 16:29:59,564 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:29:59,568 | INFO  | Listening for connections at: mqtt://Davids-MacBook-Pro-3.local:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 16:29:59,569 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:29:59,700 | INFO  | Listening for connections at ws://Davids-MacBook-Pro-3.local:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-02-14 16:29:59,701 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 16:29:59,703 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57173-1392424199405-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:29:59,704 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:29:59,706 | WARN  | Store limit is 102400 mb, whilst the data directory: /Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/kahadb only has 10193 mb of usable space - resetting to maximum available disk space: 10193 mb | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:29:59,707 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/localhost/tmp_storage only has 10193 mb of usable space - resetting to maximum available 10193 mb. | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:29:59,981 | INFO  | Welcome to hawtio 1.2-M23 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-) | io.hawt.jmx.JmxTreeWatcher | main
2014-02-14 16:29:59,985 | INFO  | Starting hawtio authentication filter, JAAS realm: "activemq" authorized role: "admins" role principal classes: "org.apache.activemq.jaas.GroupPrincipal" | io.hawt.web.AuthenticationFilter | main
2014-02-14 16:30:00,020 | INFO  | Using file upload directory: /Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/tmp/uploads | io.hawt.web.UploadServlet | main
2014-02-14 16:30:00,031 | INFO  | jolokia-agent: Using access restrictor classpath:/jolokia-access.xml | /hawtio | main
2014-02-14 16:30:00,178 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-02-14 16:30:00,202 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-02-14 16:30:14,927 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57173-1392424199405-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2014-02-14 16:30:15,557 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-02-14 16:30:15,563 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-02-14 16:30:15,573 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-02-14 16:30:15,576 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-02-14 16:30:15,657 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-02-14 16:30:15,661 | INFO  | PListStore:[/Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2014-02-14 16:30:15,662 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2014-02-14 16:30:15,662 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2014-02-14 16:30:15,664 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2014-02-14 16:30:15,916 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57173-1392424199405-0:1) uptime 16.926 seconds | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2014-02-14 16:30:15,917 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-57173-1392424199405-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2014-02-14 16:30:15,918 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@6833f0de: startup date [Fri Feb 14 16:29:58 PST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
